,Weighted_average
abc,0.03322259136212625
access,0.031508580861415246
accessing,0.028839758041331025
accompanying,0.006476516150952246
across,0.013279835878423818
added,0.027317131021830362
addition,0.022176358536942702
address,0.017176782694783604
addresses,0.03826029257930176
advantage,0.023491919640749086
align,0.014249909496418113
allocate,0.06363811920037503
allocated,0.012046946836368927
allocates,0.014094119125231366
allocation,0.018915712651964203
allow,0.017094759868505057
allowed,0.01601041718398258
also,0.00964579395854415
alt,0.014249909496418113
always,0.02967896823664594
animations,0.04705091158038854
another,0.002957188891615011
applet,0.2437223383214015
applets,0.12578575467193703
application,0.01467527184017694
applications,0.12688813215422592
applies,0.01944198075694403
apply,0.013541460981899778
appropriate,0.01013247465782176
archives,0.014249909496418113
area,0.018173901287290756
argument,0.012334117561667917
arguments,0.014099159082111637
arithmetic,0.040603518894558654
array,0.14917141457339075
arrays,0.07107488590754518
assigned,0.03479572649701185
assignment,0.016470154196254305
assignments,0.010504722853353163
automatic,0.030176885105258615
automatically,0.02211547885380212
available,0.009726697204611702
aversion,0.023491919640749086
avoid,0.013170609939617517
back,0.019611449092796607
bad,0.03826029257930176
bar,0.018760989370027365
basic,0.016711272979734716
basics,0.2961377797061155
becomes,0.013350349698006359
behavior,0.03211906022957025
bit,0.014839192456731877
bitmaps,0.014549259936271854
bits,0.017850766366989658
blah,0.028565967423912698
blank,0.01564197265361239
block,0.007910888124690315
body,0.012241088883778665
boolean,0.03152838172449575
bounds,0.03971789581434107
brackets,0.007808776057648544
break,0.0243400277118063
bring,0.01013247465782176
broad,0.013326011549672757
browser,0.1365095557818357
burden,0.01654712707879597
button,0.08464972510922006
buttons,0.025776951541949446
byte,0.07323771166580997
call,0.03353315385199665
called,0.08478600351022444
calls,0.02889461775027837
case,0.012557183584636075
cause,0.012864204388000764
causes,0.015171142129556463
cc,0.1338982056758526
char,0.012060301073421712
character,0.012060301073421712
checking,0.03971789581434107
class,0.24895497141170475
classes,0.031575103870927365
cleanup,0.014249909496418113
clone,0.06685617171322002
closing,0.007910888124690315
code,0.18688866945939525
collection,0.08463959098055512
collector,0.026684710647389302
combination,0.015660482409256347
come,0.01833497394962208
command,0.01659691639699298
comment,0.039354500992919296
commentary,0.01105153936335148
commenting,0.01105153936335148
comments,0.08726142995076133
common,0.012557183584636075
compared,0.014099159082111637
comparison,0.021049492763855884
compilation,0.02447909458907722
compile,0.013407366828505525
compiler,0.04465202212623516
complete,0.012358728312932995
completely,0.012890899725460092
complexity,0.0115411971235778
components,0.024375281133772915
computer,0.015509666531264876
concatenate,0.011406427815301205
concatenated,0.011406427815301205
consequence,0.010799548126656924
consider,0.029905748648691055
considered,0.012714896398189762
constant,0.06680693496134517
constants,0.010987962815452125
constructor,0.013794728512651889
contain,0.028857857351455796
contained,0.013046315970243158
containing,0.026077958357753322
contains,0.024980421537363073
content,0.010030334141772257
context,0.01766609095463831
continue,0.0243400277118063
contrast,0.031546019693570626
convention,0.009714394943264629
conversions,0.021865115336842832
convert,0.04019394147087394
converted,0.01571002987135761
copy,0.020571682638079812
corner,0.022504805525953072
create,0.015817700422017814
created,0.0113118133718525
creates,0.023033311739387472
creating,0.007808776057648544
creation,0.013794728512651889
current,0.018143405180688854
data,0.6537165616056124
de,0.009714394943264629
declaration,0.007808776057648544
declarations,0.03322259136212625
declare,0.00917959184709636
deep,0.009714394943264629
default,0.034086605550658386
defense,0.01816379548953344
define,0.020713113635344674
defined,0.030608581004793113
defines,0.018381207107586933
definition,0.04366939344327924
definitions,0.03454397499136439
delimited,0.024120602146843424
demand,0.014318725865914293
designed,0.013170609939617517
destroy,0.02905850510654994
diagram,0.013532862912332652
differences,0.014294555461338104
differently,0.02408433967669752
difficult,0.011234744051535012
discussed,0.017701589022717942
disks,0.011234744051535012
display,0.015091921102974935
displays,0.012358728312932995
dispose,0.047716836583063416
distributed,0.015247247863042835
document,0.0192915879170883
documentation,0.019611449092796607
done,0.026140440670946733
double,0.030133473854062204
draw,0.008685484072019948
drawing,0.018173901287290756
drawn,0.03790330076409144
dynamic,0.013350349698006359
dynamically,0.026204619955671374
easily,0.03944012040877144
ed,0.01563125473307113
effect,0.03294449580942649
effects,0.009474264765258771
efficiency,0.01596986980457423
efficient,0.020149211306601862
either,0.0321472328135245
element,0.08222942443880515
elements,0.023036232581738404
employee,0.021541974658410963
end,0.007910888124690315
environment,0.011521547274831628
environments,0.013279835878423818
equal,0.02272736220094333
equivalent,0.042914066023599595
errors,0.0115411971235778
every,0.028312167869254078
example,0.12461604558018625
exception,0.041957334949387665
execute,0.02425946045595042
executed,0.0716749924587937
execution,0.013170609939617517
expressions,0.018633771415185144
extends,0.03737539709572241
false,0.023942726563503294
features,0.02696775434450375
figure,0.006476516150952246
file,0.09478992089408197
files,0.011526376326419943
fill,0.01013247465782176
final,0.04163135001963214
find,0.012368339822002961
first,0.03230592902179765
flavors,0.01833497394962208
following,0.08102017216600571
follows,0.02151955166843841
forget,0.017701589022717942
forms,0.012557183584636075
fragments,0.01548184758315566
free,0.01013247465782176
freed,0.019515987467351642
freeing,0.014249909496418113
function,0.012845754611296679
garbage,0.1225188851603502
generic,0.022119614779784396
giant,0.013350349698006359
guaranteed,0.02102556695947898
gui,0.03196007259568154
handle,0.014549259936271854
handling,0.030075582797192267
happens,0.012046946836368927
hard,0.011234744051535012
hardware,0.022862702824175372
harm,0.011234744051535012
heap,0.031808896225928314
height,0.01682344014771157
hello,0.012358728312932995
hi,0.01467527184017694
highest,0.015191077822041859
host,0.019611449092796607
however,0.04338367145096014
html,0.02079259623266056
id,0.023491919640749086
ignore,0.015372458079826644
ignored,0.01582177624938063
ii,0.029093744416019737
iii,0.029041364390201465
ill,0.009474264765258771
illegal,0.021865115336842832
illustrate,0.022492640207620474
immediately,0.009757993733675821
implements,0.007218836386283695
implied,0.010504722853353163
inaccessible,0.012046946836368927
include,0.05679917868807723
including,0.013170609939617517
incorrect,0.011234744051535012
index,0.021220521456199452
inflexible,0.013407366828505525
initial,0.01766609095463831
initialize,0.00808899500002708
initialized,0.039249689476544544
instance,0.057549702073784736
instantiate,0.016085937437024845
instantiated,0.023405929335670074
instead,0.03233923296902948
integer,0.07161490403307989
intentionally,0.01564197265361239
interesting,0.01606623213172828
interfaces,0.012714896398189762
internally,0.009681389266014941
internet,0.013350349698006359
interpreted,0.022561710481372114
interpreter,0.024296235608522482
invalid,0.010799548126656924
invoke,0.024649239469207225
invoked,0.03182429433894423
io,0.034905117328676835
issue,0.018949540023650173
item,0.013439773975512397
iv,0.019359375937621798
java,0.7446778104058499
jumping,0.018891984453737454
label,0.024881237832748163
labels,0.0243400277118063
lack,0.010799548126656924
language,0.1611329362086556
latest,0.013295946424775346
leading,0.019611449092796607
leads,0.01606623213172828
leakage,0.012864204388000764
leaked,0.01532281819129093
leaks,0.018949540023650173
leave,0.03337073600077901
leaves,0.013219903621564368
left,0.01564197265361239
length,0.05465298334434368
level,0.040790984209404885
libraries,0.014318725865914293
library,0.062247581056004364
life,0.01013247465782176
like,0.00703844289972012
limited,0.015509666531264876
line,0.014038098604089288
lines,0.01816379548953344
link,0.013779231553110616
linked,0.014318725865914293
linking,0.013779231553110616
list,0.009972544033985587
listed,0.011521547274831628
literal,0.010030334141772257
literals,0.014150915632222292
loader,0.011521547274831628
local,0.021416666363358365
longer,0.015509666531264876
look,0.02533599545379619
looks,0.01039629811633028
loop,0.04482768524814727
lowercase,0.01563125473307113
lowest,0.015191077822041859
machine,0.021575210858834053
main,0.057765086178311
major,0.014294555461338104
make,0.05279307303527263
makes,0.03844496799046543
making,0.0113118133718525
mandatory,0.01682344014771157
many,0.013219903621564368
market,0.013326011549672757
may,0.11823509028743746
means,0.01176278182083947
members,0.013521550232664084
memory,0.13808822331714046
menu,0.018760989370027365
menus,0.01936600988409202
messages,0.024649239469207225
method,0.22209969442205024
methods,0.08122405435385022
modified,0.010987962815452125
much,0.020149211306601862
multiple,0.0071414918559781744
must,0.029374670360293224
named,0.013532862912332652
native,0.018136558452572456
need,0.05642682051254629
nested,0.017421346418275942
new,0.26544646658294024
next,0.009757993733675821
note,0.07547780554641192
nothing,0.0377809529828326
notices,0.009757993733675821
null,0.0544871292436874
number,0.016891871510275953
object,0.12883517240706405
objects,0.17275697297124826
observation,0.01606623213172828
obtained,0.012079087217976995
often,0.014782108167751513
ok,0.00703844289972012
old,0.009474264765258771
one,0.05401941479845525
opening,0.01582177624938063
operating,0.013279835878423818
operations,0.014249909496418113
operator,0.09187063689096893
operators,0.043574850594138625
optional,0.022590260910864707
optionally,0.010167459782083133
order,0.015191077822041859
output,0.01039629811633028
outside,0.017094759868505057
owner,0.010906725132595331
package,0.03759862896352902
page,0.01564197265361239
painting,0.014549259936271854
parameter,0.03645232077535708
parameters,0.06192165323256101
part,0.037441777604903116
particular,0.036749855246487384
passed,0.05850147328401584
pc,0.012845754611296679
perform,0.009714394943264629
phase,0.013779231553110616
place,0.013794728512651889
